,id,title,original_language,release_date,release_mon,release_month,release_year,vote_average,popularity,adult
2256,14675,The Awful Truth,en,10/20/37,10,October,1937,7.3,11.876,FALSE
12256,14675,The Awful Truth,en,10/20/37,10,October,1937,7.3,11.876,FALSE
3096,408,Snow White and the Seven Dwarfs,en,12/21/37,12,December,1937,7.1,67.269,FALSE
13096,408,Snow White and the Seven Dwarfs,en,12/21/37,12,December,1937,7.1,67.269,FALSE
1191,900,Bringing Up Baby,en,2/18/38,2,February,1938,7.6,10.972,FALSE
11191,900,Bringing Up Baby,en,2/18/38,2,February,1938,7.6,10.972,FALSE
1562,10907,The Adventures of Robin Hood,en,5/13/38,5,May,1938,7.5,17.317,FALSE
11562,10907,The Adventures of Robin Hood,en,5/13/38,5,May,1938,7.5,17.317,FALSE
1416,46326,Port of Shadows,fr,5/17/38,5,May,1938,7.5,8.566,FALSE
11416,46326,Port of Shadows,fr,5/17/38,5,May,1938,7.5,8.566,FALSE
2145,16274,Holiday,en,5/26/38,5,May,1938,7.3,8.998,FALSE
12145,16274,Holiday,en,5/26/38,5,May,1938,7.3,8.998,FALSE
1455,34106,You Can't Take It with You,en,9/1/38,9,September,1938,7.5,11.495,FALSE
11455,34106,You Can't Take It with You,en,9/1/38,9,September,1938,7.5,11.495,FALSE
1423,940,The Lady Vanishes,en,10/7/38,10,October,1938,7.5,12.936,FALSE
11423,940,The Lady Vanishes,en,10/7/38,10,October,1938,7.5,12.936,FALSE
1012,13696,Angels with Dirty Faces,en,11/26/38,11,November,1938,7.6,9.432,FALSE
11012,13696,Angels with Dirty Faces,en,11/26/38,11,November,1938,7.6,9.432,FALSE
893,995,Stagecoach,en,3/3/39,3,March,1939,7.7,15.84,FALSE
10893,995,Stagecoach,en,3/3/39,3,March,1939,7.7,15.84,FALSE
2578,3084,Wuthering Heights,en,4/7/39,4,April,1939,7.2,12.113,FALSE
12578,3084,Wuthering Heights,en,4/7/39,4,April,1939,7.2,12.113,FALSE
1122,776,The Rules of the Game,fr,7/9/39,7,July,1939,7.6,12.62,FALSE
11122,776,The Rules of the Game,fr,7/9/39,7,July,1939,7.6,12.62,FALSE
1152,630,The Wizard of Oz,en,8/15/39,8,August,1939,7.6,54.404,FALSE
11152,630,The Wizard of Oz,en,8/15/39,8,August,1939,7.6,54.404,FALSE
478,3083,Mr. Smith Goes to Washington,en,10/19/39,10,October,1939,7.9,12.915,FALSE
10478,3083,Mr. Smith Goes to Washington,en,10/19/39,10,October,1939,7.9,12.915,FALSE
1288,1859,Ninotchka,en,11/23/39,11,November,1939,7.5,12.087,FALSE
11288,1859,Ninotchka,en,11/23/39,11,November,1939,7.5,12.087,FALSE
357,770,Gone with the Wind,en,12/15/39,12,December,1939,8,33.165,FALSE
10357,770,Gone with the Wind,en,12/15/39,12,December,1939,8,33.165,FALSE
77,20334,The Shop Around the Corner,en,1/12/40,1,January,1940,8.3,31.347,FALSE
10077,20334,The Shop Around the Corner,en,1/12/40,1,January,1940,8.3,31.347,FALSE
1700,3085,His Girl Friday,en,1/18/40,1,January,1940,7.4,10.779,FALSE
11700,3085,His Girl Friday,en,1/18/40,1,January,1940,7.4,10.779,FALSE
3151,10895,Pinocchio,en,2/23/40,2,February,1940,7.1,41.927,FALSE
13151,10895,Pinocchio,en,2/23/40,2,February,1940,7.1,41.927,FALSE
600,596,The Grapes of Wrath,en,3/15/40,3,March,1940,7.8,15.348,FALSE
10600,596,The Grapes of Wrath,en,3/15/40,3,March,1940,7.8,15.348,FALSE
444,223,Rebecca,en,3/23/40,3,March,1940,7.9,21.103,FALSE
10444,223,Rebecca,en,3/23/40,3,March,1940,7.9,21.103,FALSE
3550,25670,Foreign Correspondent,en,8/16/40,8,August,1940,7,10.03,FALSE
13550,25670,Foreign Correspondent,en,8/16/40,8,August,1940,7,10.03,FALSE
61,914,The Great Dictator,en,10/15/40,10,October,1940,8.3,19.904,FALSE
10061,914,The Great Dictator,en,10/15/40,10,October,1940,8.3,19.904,FALSE
1936,756,Fantasia,en,11/13/40,11,November,1940,7.4,35.849,FALSE
11936,756,Fantasia,en,11/13/40,11,November,1940,7.4,35.849,FALSE
963,981,The Philadelphia Story,en,12/5/40,12,December,1940,7.7,13.344,FALSE
10963,981,The Philadelphia Story,en,12/5/40,12,December,1940,7.7,13.344,FALSE
2978,12232,The Thief of Bagdad,en,12/25/40,12,December,1940,7.1,11.032,FALSE
12978,12232,The Thief of Bagdad,en,12/25/40,12,December,1940,7.1,11.032,FALSE
3476,27725,High Sierra,en,1/23/41,1,January,1941,7,10.197,FALSE
13476,27725,High Sierra,en,1/23/41,1,January,1941,7,10.197,FALSE
2489,3086,The Lady Eve,en,2/25/41,2,February,1941,7.2,10.732,FALSE
12489,3086,The Lady Eve,en,2/25/41,2,February,1941,7.2,10.732,FALSE
2085,32574,Meet John Doe,en,3/14/41,3,March,1941,7.3,7.221,FALSE
12085,32574,Meet John Doe,en,3/14/41,3,March,1941,7.3,7.221,FALSE
301,15,Citizen Kane,en,4/17/41,4,April,1941,8,22.082,FALSE
10301,15,Citizen Kane,en,4/17/41,4,April,1941,8,22.082,FALSE
739,963,The Maltese Falcon,en,10/18/41,10,October,1941,7.8,16.192,FALSE
10739,963,The Maltese Falcon,en,10/18/41,10,October,1941,7.8,16.192,FALSE
2465,43266,How Green Was My Valley,en,10/28/41,10,October,1941,7.2,9.896,FALSE
12465,43266,How Green Was My Valley,en,10/28/41,10,October,1941,7.2,9.896,FALSE
3631,11360,Dumbo,en,10/31/41,10,October,1941,7,151.779,FALSE
13631,11360,Dumbo,en,10/31/41,10,October,1941,7,151.779,FALSE
3111,11462,Suspicion,en,11/14/41,11,November,1941,7.1,10.966,FALSE
13111,11462,Suspicion,en,11/14/41,11,November,1941,7.1,10.966,FALSE
1444,16305,Sullivan's Travels,en,11/30/41,11,November,1941,7.5,7.806,FALSE
11444,16305,Sullivan's Travels,en,11/30/41,11,November,1941,7.5,7.806,FALSE
3175,13666,The Wolf Man,en,12/12/41,12,December,1941,7.1,14.35,FALSE
13175,13666,The Wolf Man,en,12/12/41,12,December,1941,7.1,14.35,FALSE
3572,3170,Bambi,en,2/11/42,2,February,1942,7,52.205,FALSE
13572,3170,Bambi,en,2/11/42,2,February,1942,7,52.205,FALSE
463,198,To Be or Not to Be,en,3/5/42,3,March,1942,7.9,8.8,FALSE
10463,198,To Be or Not to Be,en,3/5/42,3,March,1942,7.9,8.8,FALSE
4188,31997,Saboteur,en,4/24/42,4,April,1942,6.9,9.691,FALSE
14188,31997,Saboteur,en,4/24/42,4,April,1942,6.9,9.691,FALSE
3009,27367,Mrs. Miniver,en,7/3/42,7,July,1942,7.1,10.865,FALSE
13009,27367,Mrs. Miniver,en,7/3/42,7,July,1942,7.1,10.865,FALSE
2096,965,The Magnificent Ambersons,en,7/10/42,7,July,1942,7.3,9.12,FALSE
12096,965,The Magnificent Ambersons,en,7/10/42,7,July,1942,7.3,9.12,FALSE
9124,14906,Saludos Amigos,en,8/24/42,8,August,1942,5.9,14.302,FALSE
19124,14906,Saludos Amigos,en,8/24/42,8,August,1942,5.9,14.302,FALSE
161,289,Casablanca,en,11/26/42,11,November,1942,8.2,26.893,FALSE
